Kata,Bobot
hilangnya,0
hilirisasi,0
himbauan,0
hina,0
hindari,0
hingga,0
hitam,0
hkm,0
hmm,0
hmmm,0
hnya,0
hoaks,0
hoakssss,0
hoax,-5
hoaxnya,0
hoaxx,0
hobi,0
hobinya,0
hoi,0
hokikoneksi,0
hokom,0
home,0
homeschooling,0
homo,0
hormati,0
hormatt,0
horrible,-5
hotel,0
hotmanparisofficial,0
how,0
hoyang,0
hp,0
hpku,0
hqrus,0
hr,0
hrnya,0
hrs,0
hrsnya,0
hrus,0
hti,0
htn,0
hubungan,0
huehehehehe,0
huek,0
hug,5
hukum,-2
hukuman,-4
hukumanaknya,0
hukumananak,0
hukumanbiar,0
hukumannya,0
hukumbiar,0
hukumjangan,0
hukumlah,0
hukumnya,0
hukumsatu,0
hukumyang,0
humasmahkamahagung,0
humaspolri,0
hurung,0
hutang,0
huus,0
hype,-5
i,0
ia,0
ibadah,0
ibarat,0
iblis,0
ibu,0
ibuk,0
ibunya,0
icu,0
idak,0
ide,0
ideal,5
ideologi,0
idih,0
idola,0
idup,0
idupnya,0
ifentitas,0
ig,0
igku,0
ignya,0
ih,0
ihengdc,0
ihhh,0
ijahahahh,0
ijazah,0
ijen,0
ijin,0
ikat,0
iket,0
ikhlas,0
ikhlash,0
iki,0
iknp,0
iku,0
ikut,0
ikutan,0
ikutkan,0
ikutlah,0
il,0
ilang,0
ilegal,0
ilfil,0
ilmu,0
ilustrasi,0
im,0
image,0
imam,0
iman,0
imbang,0
imbas,0
impact,0
impactful,0
in,0
indah,0
india,0
indo,0
indonesia,0
indonesiabravo,0
indonesian,0
indonesianadiemmakarim,0
influencer,0
info,0
infoini,0
infokemendikbud,0
infonya,0
informasi,0
ingat,0
inget,0
ingfokan,0
inggat,0
ingin,0
ingusan,0
ini,1
inii,0
iniii,0
iniingatttttt,0
inikah,0
inikeren,0
inikok,0
inilah,0
inimsh,0
inimungkn,0
inina,0
iniotaknya,0
inisialnya,0
inisiasi,0
initrus,0
innaa,0
innailaihi,0
innalilahi,0
innalillahi,0
innalillahiwainnailaihirojiun,0
inovator,0
inshaallah,0
inspirasi,0
instagram,0
instastory,0
institusi,0
institusinya,0
instrospeksi,0
instruksi,0
insyaa,0
insyaallah,0
insyaalloh,0
integritas,0
intens,0
intensitas,0
inter,0
interaksinya,0
internasional,0
internasionalyg,0
international,0
intervensi,0
intinya,0
intny,0
intropeksi,0
introspeksi,0
investigasi,0
iq,0
iri,0
irian,0
irnaalam,0
iru,0
is,0
iseng,0
isengitu,0
isi,0
isin,0
isinya,0
islam,0
islamsetelah,0
islamsiswanya,0
isnifj,0
isnt,0
issues,-5
istigfar,0
istilah,0
istimewaa,0
istitusi,0
istri,0
isu,0
isunya,0
it,0
ite,0
item,0
its,0
itsmericky,0
itu,0
ituartis,0
itudan,0
ituh,0
ituitu,0
itukah,0
itukan,0
itulah,0
itumah,0
itupun,0
itusaya,0
itusekolah,0
itutak,0
itutidak,0
itutuhan,0
iya,0
iyaaaa,0
iyaaaaaalah,0
iyah,0
iyalaaahh,0
iye,0
iykyk,0
iyo,0
izin,0
ja,0
jabatan,0
jadi,0
jadiin,0
jadikan,0
jadilah,0
jadinya,0
jaga,0
jagat,0
jago,0
jagoan,0
jagoangak,0
jagoaninget,0
jagoankecil,0
jagoanmu,0
jagoann,0
jagoo,0
jagooaaaaaaan,0
jagopadahal,0
jahat,0
jahatnya,0
jajan,0
jakarta,0
jaksa,0
jalan,0
jalur,0
jam,-5
jama,0
jaman,0
jambak,0
jamet,0
jamettt,0
jamin,2
jaminan,4
jan,0
jancok,-5
jancukkk,0
janetes,0
jang,0
jangan,-2
jangka,0
jangn,0
jangoan,0
janin,0
janji,0
janjimu,0
japanese,0
japri,0
jar,0
jarakjadi,0
jarang,0
jari,0
jark,0
jasa,0
jatah,0
jateng,0
jati,0
jatoh,0
jatohin,0
jatuh,0
jatuhnya,0
jauh,0
jauhkan,0
jawa,0
jawab,4
jawaban,0
jawabarat,0
jawabnya,0
jaya,0
jayaaa,0
jd,0
jdi,0
jeblk,0
jeblok,0
jeblokno,0
jebloknya,0
jeblosiin,0
jeg,0
jejak,0
jejek,0
jelas,0
jelaslah,0
jelassss,0
jelata,0
jelek,0
jelekin,0
jeles,0
jeli,0
jemput,0
jenazah,0
jendral,0
jeneengan,0
jenengan,0
jeng,0
jengkel,0
jenius,0
jennifer,0
jennigong,0
jer,0
jera,0
jeradan,0
jerague,0
jerah,0
jerahnya,0
jerakan,0
jeraknp,0
jeranya,0
jeranyaperistiwa,0
jerastop,0
jeratan,0
jerik,0
jeruk,0
jeruzibesi,0
jessikapgg,0
jg,0
jga,0
jgan,0
jgapakabar,0
jgj,0
jgn,0
jgncalon,0
jiang,0
jibril,0
jidat,0
jieun,0
jika,0
jilat,0
jin,0
jingok,0
jirehjik,0
jis,0
jiwa,0
jiwaan,0
jk,0
jkt,0
jlk,0
jls,0
jlsss,0
jmn,0
jng,0
jngan,0
job,0
jodoh,0
johansrianto,0
join,0
jojon,0
joko,0
jokowi,0
jokowihadewwww,0
jokowilain,0
joni,0
jorok,0
jos,0
jotos,0
jselain,0
jtbulan,0
jts,0
jual,0
jualan,0
juara,0
jubir,0
judulnya,0
juga,0
jugabangsaat,0
jugablum,0
jujur,0
jumblah,0
junior,0
jurang,0
jurangsalam,0
just,0
justru,0
juta,0
juvenile,0
jwb,0
k,0
ka,0
kaaauuu,0
kaah,0
kabar,0
kabarin,0
kabarnya,0
kabeh,0
kabinet,0
kabinetatau,0
kabinetnya,0
kabinettakutnya,0
kacauu,0
kacung,0
kadang,0
kader,0
kadrun,0
kae,0
kafir,0
kaga,0
kagak,0
kaget,0
kah,0
kaitan,0
kajian,0
kak,0
kakak,0
kakaknya,0
kakean,0
kakehan,0
kakelnya,0
kaki,0
kakinya,0
kaksetosahabatanak,0
kalah,0
kalahproses,0
kalai,0
kalakuan,0
kalangan,0
kalau,4
kalaupun,0
kali,2
kalian,0
kalidan,0
kalijaga,0
kalimat,0
kalinya,0
kalkulator,0
kalo,2
kalopun,0
kalu,0
kalut,0
kambangan,0
kamera,0
kami,0
kamil,0
kamomg,0
kamorang,0
kampanye,0
kampung,0
kampungan,0
kampus,0
kamu,0
kan,0
kanak,0
kanan,0
kandang,0
kandangi,0
kandangin,0
kang,0
kanjuruhan,0
kanker,0
kantin,0
kantoran,0
kantung,0
kaos,0
kapan,0
kapanggih,0
kapannn,0
kapanpun,0
kapok,0
kapokkasih,0
kapokkrn,0
kapoldametrojaya,0
kapookkk,0
karakter,0
karakteristik,0
karakternya,0
karana,0
karate,0
karena,0
karenan,0
karir,0
karirkalau,0
karirnyaeh,0
karma,0
karna,0
karo,0
kartel,0
karung,0
kasar,0
kasi,0
kasian,0
kasiankan,0
kasianya,0
kasih,5
kasihan,0
kasihansini,0
kasus,0
kasusin,0
kasusnya,0
kata,0
katagori,0
katain,0
katakan,0
katakata,0
katanya,0
katanyaaa,0
kate,0
kategori,0
katek,0
kau,0
kaum,0
kauu,0
kauuu,0
kauuuusoookk,0
kawaaaaaal,0
kawal,0
kawan,0
kawasan,0
kaya,0
kayaa,0
kayagitu,0
kayah,0
kayak,0
kayaknya,0
kayanya,0
kayu,0
kbarnya,0
kcl,0
kcli,0
ke,0
keabiasaan,0
keadaan,0
keadilan,0
keamanan,0
keat,0
keats,0
kebablasan,0
kebaikan,0
kebaikkan,0
kebakalan,0
kebakaran,0
kebalik,0
kebalikannyalo,0
kebangetan,0
kebanggaan,0
kebanyakan,2
kebawa,0
kebawah,0
kebayang,0
kebebasan,0
kebebasanpejabat,0
kebelet,0
kebenaran,0
kebenarannya,0
keberatan,0
kebetulan,0
kebiadaban,0
kebiasaan,0
kebiasaannya,0
kebiasan,0
kebijakan,0
kebiri,0
kebohongan,0
kebrutalan,0
kebudayaantentang,0
kebuka,0
kebun,0
keburukan,0
kebusukan,0
kebutuhan,0
kecenderungan,0
kecewa,0
kecil,0
kecildan,0
kecilku,0
kecintaan,0
kecolongan,0
kecuali,0
kecurangan,0
kecut,0
kedamaian,0
kedepan,0
kedewasaan,5
kedepannya,0
kedeung,0
kedinasan,0
kedua,0
keekonomian,0
keep,0
kegaduhan,0
kegagalan,0
kegelisahan,0
kegiatan,0
kegocek,0
kehebatannya,0
kehidupan,0
keinginan,0
kejadia,0
kejadian,0
kejadiannya,0
kejagoan,0
kejahatan,0
kejaksaanri,0
kejam,-2
kejebak,0
kejelasannya,0
kejem,0
keji,0
kejiwaan,0
kek,0
kekalahan,0
kekalahannya,0
kekecewaan,0
kekeluargaan,0
kekeluargaananeh,0
kekeluargaanbiar,0
kekeluargaangk,0
kekeluargaanhrs,0
kekeluargaannya,0
kekerasaan,0
kekerasan,0
kekerasantapi,0
keknya,0
keknyo,0
kekontrol,0
kekuasaan,0
kekuatan,0
kekurangan,0
kel,0
kelaaaarrr,0
kelabakan,0
kelak,0
kelaku,0
kelakuaannya,0
kelakuan,0
kelakuane,0
kelakuannya,0
kelalaian,0
kelaluannya,0
kelam,0
kelamin,0
kelancaran,0
kelapa,0
kelar,0
kelarin,0
kelarrrr,0
kelas,2
kelaskepala,0
kelasnya,0
kelaswakil,0
kelaurganya,0
kelazz,0
kelean,0
kelebihan,0
kelemahan,0
kelen,0
kelewatan,0
kelian,0
keliatan,0
kelicikan,0
kelihatan,0
kelk,0
kelompok,0
keluar,0
keluaran,0
keluarga,0
keluargaantdk,0
keluargaberi,0
keluargamuu,0
keluargangapaen,0
keluarganya,0
keluarganyabelum,0
keluarganyaperlakukan,0
keluarin,0
keluarkan,0
keluarke,0
keluhan,0
keluhanny,0
kelulusan,0
kelurga,0
kemampuan,0
kemana,0
kemanain,0
kemandoran,0
kemanusiaan,0
kemaren,0
kemarin,0
kematian,0
kemayu,0
kembali,2
kembalikan,4
kembalisemoga,0
kembar,0
kemdikbudri,0
kemenangan,0
kemendikbud,0
kemendikbudiaiqi,0
kemendiknas,0
kemenkumhamri,0
kementrian,0
kemewahan,0
kemiskinan,0
kemudian,0
kemungkinan,0
kemyamanan,0
ken,0
kena,0
kenakakan,0
kenakalan,0
kenakaln,0
kenakan,0
kenal,0
kenalakan,0
kenalalam,0
kenalan,0
kenapa,2
kenceng,0
kendali,0
kendalikan,0
kendaraan,0
kendor,0
kenetizen,0
keno,0
kenpa,0
kenyamanannya,0
kenyataan,0
kenyataannya,0
kep,0
kepada,0
kepadamu,0
kepala,0
kepanjaro,0
kepastian,0
kepatuhan,0
kepemimpinan,0
kepengen,0
kepentingan,0
kepercayaan,0
kepilihi,0
kepintaran,0
kepolisian,0
keponakan,0
keponakanmu,0
kepradah,0
kepribadian,0
kepsek,0
kepseknya,0
keputusan,0
keras,0
kerasnya,0
kerasnyabiar,0
kerasukan,0
kere,0
keren,0
kerena,0
kerenin,0
kerenkeren,0
kerennn,0
keresahan,0
kerja,0
kerjaan,0
keroyok,0
keroyokan,0
keroyokanklo,0
keroyokin,0
kerupuk,0
kerusakan,0
kesabaranmu,0
kesadaran,0
kesakitan,0
kesal,0
kesalahan,0
kesalahannya,0
kesalapalagi,0
kesana,0
kesebut,0
kesedihan,0
kesehatan,0
keseimbangan,0
kesekian,0
kesel,0
keselamatan,0
keselorang,0
kesenangan,0
kesepakatan,0
kesian,0
kesiapan,0
kesini,0
kesiswaan,0
kesok,0
kesombongan,-5
kesundut,0
kesusu,0
ketabahan,0
ketahuan,0
ketaker,0
ketakutan,0
ketambah,0
ketangan,0
ketanganan,0
ketangkap,0
ketangkep,0
ketangkeppp,0
ketat,0
ketauan,0
ketawa,0
ketawaketawa,0
ketebak,0
ketegasan,0
ketemu,0
keterangan,0
keterbelakangan,0
keterlaluan,0
keterlaluansadis,0
ketertiban,0
ketika,0
ketipu,0
ketok,0
ketololannya,0
ketua,0
ketuanya,0
ketum,0
keturunan,0
keturunannya,0
keulang,0
keunikan,0
keuntungan,0
keurus,0
keusut,0
kg,0
kgk,0
khan,0
kharim,0
khawatir,0
khawatirsemoga,0
khdpan,0
khianati,0
khilaf,0
khisanak,0
khusus,0
khususnya,0
ki,0
kibulin,0
kick,0
kids,0
kieu,0
kinerja,0
kini,0
kiqsudaryanto,0
kira,0
kirain,0
kiranya,0
kirim,0
kisah,0
kisahnya,0
kita,2
kitu,0
kk,0
kkb,0
kkk,0
kknya,0
kl,0
klarifikasi,0
klarifikasinya,0
klau,0
klean,0
klian,0
kliatan,0
klien,0
klo,0
kls,0
klu,0
kluarga,0
klurga,0
klw,0
km,0
kmampuan,0
kmaren,0
kmarin,0
kmi,0
kmn,0
kmna,0
kmren,0
kmrn,0
kmu,0
kmudian,0
kn,0
knalan,0
knapa,0
kndur,0
knew,0
know,0
knp,0
knpa,0
kntl,0
knyataannya,0
ko,0
koalisi,0
koar,0
koarnya,0
kocak,0
kocek,0
koe,0
kog,0
kojon,0
kok,1
kokudah,0
kolaan,0
kolam,0
koleganya,0
kolong,0
kolot,0
kolusi,0
komandan,0
komdis,0
kome,0
komen,0
komenku,0
komennya,0
koment,0
komentar,0
komentarnya,0
komisi,0
komisioner,0
komite,0
komnas,0
komnasanak,0
komnasham,0
kompak,0
kompeten,0
kompetisi,0
komplotannya,0
komuk,0
komunikasi,0
komunitas,0
kon,0
konco,0
kondang,0
kondisi,0
kondusif,0
koneksi,0
kongsi,0
konlah,0
konoha,0
konpres,0
konsekuensi,0
konsekuensinta,0
konsekuensinya,0
konseling,4
konsepnya,0
konsisten,0
konsistensi,0
konspirasi,0
konssten,0
konteks,0
konteksnya,0
kontestasi,0
kontol,0
kontrol,0
kontroversional,0
konvensi,0
konyol,0
konyoool,0
koordinasi,0

korban,0
korbanapa,0
korbanbuat,0
korbanlalu,0
korbannya,0
korbanrudah,0
korbanya,0
korbanyg,0
korbban,0
korea,0
korek,0
koreksi,0
korupsi,0
koruptor,0
kosong,0
kota,0
kotanegara,0
kotor,0
kotoran,0
kowe,0
kpai,0
kpaiofficial,0
kpd,0
kpk,0
kpn,0
kpps,0
kpu,0
krama,0
krdepannya,0
krempeng,0
krennn,0
kriminal,0
kriminalisasi,0
kriminalitas,0
krimnl,0
krisis,0
kritik,0
kritiknya,0
kritis,0
krji,0
krmaa,0
krmn,0
krn,0
krna,0
krnakalan,0
kronologiny,0
kronologinya,0
kroyokan,0
ksh,0
ksian,0
ksih,0
ksong,0
kt,0
ktbsk,0
ktemu,0
ktjgn,0
ktm,0
ktmu,0
ktnya,0
ktp,0
ku,0
kuaaaddd,0
kualatt,0
kualitas,0
kualitasnya,0
kuasa,0
kuasahukumnyabelumkenakarmanya,0
kuat,0
kuatan,0
kuattt,0
kubangan,0
kubu,0
kuda,0
kudu,0
kuduga,0
kuhp,0
kui,0
kukira,0
kuliah,0
kuliahnya,0
kulit,0
kuliti,0
kumaha,0
kumparan,0
kumparancom,0
kumparanini,0
kumparanpelaku,0
kumparansoal,0
kumpul,0
kumuh,0
kumuhnya,0
kuping,0
kurang,0
kurangmerasa,0
kurangnya,0
kurikulum,0
kurikulumagar,0
kurung,0
kurungan,0
kurunglah,0
kutip,0
kutu,0
kutuk,0
kwalitas,0
ky,0
kya,0
kyak,0
kyj,0
kyk,0
kyknya,0
kyknyapaling,0
kynya,0
kyok,0
la,0
laaaaaa,0
laaaahh,0
laah,0
laahhh,0
labil,0
laen,0
laennya,0
lage,0
lagh,0
lagi,1
lagian,0
lagicba,0
lagii,0
lagiii,0
lagikah,0
lagilagiii,0
lagiudh,0
lagu,0
lagunya,0
lah,1
lahaja,0
lahan,0
lahh,0
lahhhhhhh,0
lahir,0
lahirlah,0
lahj,0
lahmenkopolhukam,0
lahngko,0
laii,0
lain,0
laincontoh,0
lainlain,0
lainnya,0
lainsegala,0
lainya,0
laki,0
laksanakan,0
laku,0
lakuakan,0
lakuin,0
lakuinn,0
lakukan,0
lakukanbkn,0
lalai,0
lalim,0
lalu,0
lama,0
lamahanya,0
lambene,0
lampu,0
lanangtubetino,0
langgar,0
langkah,0
langsung,0
lanjut,0
lanjutan,0
lanjutannya,0
lanjuti,0
lanjutkan,4
lapang,0
lapangan,0
lapar,0
lapas,0
lapor,0
laporan,0
laporannya,0
laporin,0
laporkan,0
lari,0
laris,0
latar,0
latihan,0
laut,0
lauu,0
law,0
lawak,0
lawan,0
lawannya,0
lawanya,0
lawyer,0
lawyernya,0
layak,0
layakdicyduk,0
lbh,0
le,0
lebar,0
lebaran,0
lebay,0
lebih,0
lebihnyah,0
lebiih,0
ledak,0
lega,0
legal,0
legislatif,0
legitimasi,0
lego,0
leh,0
lehernya,0
lejar,0
lek,0
lekas,0
lela,0
lelas,0
lele,0
lelogas,0
lemah,0
lemahnya,0
lembaga,0
lembali,0
lengkap,0
leoanimador,0
leosiburian,0
lepas,0
lepasmasukkan,0
les,0
lets,0
lewat,0
lewattt,0
lg,0
lgi,0
lgs,0
lgsg,0
lgsung,0
lgtpi,0
lh,0
lha,0
lhmembuly,0
lhmenkopulhukam,0
lho,0
lht,0
lhuuug,0
liar,-5
liarkan,0
liat,0
liatan,0
liatnya,0
liatnyaaa,0
liberalsetelah,0
life,0
lihat,0
lihatnya,0
lihatnyaanak,0
like,5
lilireinhart,0
lilqgeeee,0
lima,0
lindungi,0
lingkaran,0
lingkungan,0
lingkungannya,0
link,0
lipat,0
lisensi,0
list,0
listyosigitprabowo,0
litbangdikbud,0
literasi,0
lngsung,0
lo,0
loe,0
logika,0
logikanya,0
logila,0
logistik,0
loh,0
lohh,0
lohhhh,0
lohhrs,0
lohlohlohhhh,0
lokecil,0
loker,0
loli,0
lolo,0
lololo,0
lolos,0
lonte,0
loo,0
looh,0
looking,0
looser,0
lost,-5
lotangkapmasukin,0
love,5
lu,0
luangkan,0
luar,0
luarnya,0
luck,5
lucu,5
lucuan,0
lucunya,0
ludahin,0
ludahmu,0
ludes,0
lue,0
luh,0
luka,0
lukain,0
lulus,0
lulusan,0
lumayaaan,0
lumayan,0
lumayanlah,0
lumrah,0
lumrahkiamat,0
lumuri,0
lunatictwister,0
luntur,0
lupa,0
lurah,0
lurus,0
lushyu,0
lututnya,0
luuuuu,0
luwes,0
lwt,0
lyodraofficial,0
m,0
ma,0
maa,0
maaaf,0
maaf,0
maaftidak,0
maap,0
mabora,0
mabuk,0
macam,0
macem,0
macet,0
machiavelli,0
macho,0
maco,0
madesu,0
madih,0
maen,0
mafia,0
mafiagenk,0
mafud,0
mah,0
maha,0
mahal,0
mahalmahal,0
mahalmurah,0
mahalortu,0
mahasiswa,0
mahdi,0
mahfud,0
mahh,0
mahkamahkonstitusi,0
mahluk,0
mahmakannya,0
mahmud,0
maichealeffndi,0
main,0
mainin,0
majikan,0
maju,0
mak,0
maka,0
makamah,0
makan,0
makana,0
makanan,0
makanya,0
makar,0
makasi,0
makasih,0
make,0
maki,0
makin,0
maklum,0
maklumi,0
makmur,0
maksain,0
maksimal,0
maksud,0
maksudnya,0
maksutnya,0
mala,0
malah,4
malahan,1
malaikat,2
malam,1
malamnya,1
malay,0
malih,0
maling,0
malu,0
maluin,0
maluu,0
mama,0
mamam,0
mami,0
mampir,0
mampoooss,0
mampooossss,0
mampos,0
mamposs,0
mamposss,0
mamposssss,0
mampu,2
mampus,0
mampuss,0
mampusss,0
mampuuusss,0
mana,0
manakala,0
manangihh,0
mananya,0
manapun,0
manatau,0
mandang,0
mandi,0
maneh,0
mang,0
mangga,0
manggil,0
maniesss,0
manis,0
maniskrn,0
manismu,0
maniz,0
manja,0
manjakan,0
mann,0
mantan,0
mantap,0
mantapppp,0
mantappppp,0
mantapzzz,0
mantau,0
mantep,0
manusia,0
manusianya,0
manusiawi,0
manut,0
mao,0
marah,-4
marahin,0
marahlah,0
marahmana,0
marak,0
maraknya,0
mari,0
mario,0
mariskamarlia,0
martabat,0
mas,0
masa,0
masak,0
masalah,0
masalahnya,0
masamu,0
maseh,0
masi,0
masih,0
masiku,0
masing,0
masjid,0
massa,0
mastercorbuzier,0
masuk,0
masukan,0
masukin,0
masukkan,0
masya,0
masyaaallah,0
masyarakat,2
masymodel,0
mata,0
matamu,-5
matang,0
matanya,0
materai,0
materaipenjaraim,0
materi,0
mati,0
matian,0
matiiiiiiiii,0
matikl,0
matimatian,0
mau,3
maulidazuam,0
maunya,0
maupun,0
mauuu,0
maya,0
maybe,0
mayoritas,0
mazarwin,0
mbalang,0
mbok,0
mboten,0
mbrojol,0
mbuat,0
mc,0
mcguire,0
mcm,0
md,0
medan,0
media,0
medisnya,0
medsos,0
mega,0
megang,0
megangagin,0
mehong,0
meja,0
mekejang,0
melakukan,2
melakukandengan,0
melakukanmeniru,0
melakukannya,0
melakukanya,0
melalui,0
melampiaskan,0
melanggar,0
melanjutkan,0
melapor,0
melaporkan,0
melatih,0
melawan,0
melbu,0
melebihi,0
melebihin,0
melecehkan,0
meledak,0
melegalkan,0
melejit,0
melekatblgi,0
melemahkan,0
melewati,0
meliat,0
melihat,0
melihatnya,0
melindungi,0
melintir,0
mellidarsa,0
melok,0
melu,0
meluk,0
melukai,0
melulu,0
melupakan,0
meluyut,0
memaafkan,0
memajukan,0
memaksa,0
memaksakan,0
memalukan,0
memandang,0
memanfaatkan,0
memang,0
memanglah,0
memanjakan,0
memar,0
memasukan,0
membaca,0
membackup,0
membagikan,0
membagongkan,0
membahayakan,0
membaikot,0
membakar,0
membalas,0
membanggakan,0
membangun,0
membantu,0
membatasi,0
membawa,0
membebaskan,0
membekas,0
membela,0
membeli,-2
membelanya,0
membenahi,0
membenarkan,0
membenci,0
membentuk,0
member,0
memberantas,0
memberatkan,0
memberi,0
memberikan,0
memberiken,0
memberondong,0
membesarkan,0
membiasakan,0
membikin,0
membnh,0
membongkar,0
membuat,0
membuatnya,0
membuka,0
membuktikan,0
membuli,0
membully,0
membullying,0
membullytidak,0
membuly,0
membungkam,0
membunuh,0
membusuk,0
meme,0
memenangkan,0
memengaruhi,0
memenuhi,0
memfasilitasi,0
memilih,0
memilihyakin,0
memiliki,0
milikmu,2
memimpin,0
meminjam,0
meminta,0
memohon,0
memory,0
memperbaiki,0
memperbolehkan,0
memperhalus,0
memperhatikan,0
memperjuangkan,0
mempermalukan,0
mempertahankan,0
mempertimbangkan,0
memprihatinkan,0
memprovokasi,0
mempunyai,0
memudahkan,0
memuji,0
memulai,0
memulihkan,0
memutus,0
memvideokan,0
memvidio,0
men,0
mena,0
menahu,0
menajdi,0
menang,0
menangani,0
menangcepat,0
menangis,0
menanti,0
menayangkan,0
mencalonkan,0
mencari,0
mencedarai,0
mencela,0
mencerminkan,0
mencibir,0
menciptakan,0
mendadak,0
mendaki,0
mendakwamembuat,0
mendampibgi,0
mendampingi,0
mendampingin,0
mendapat,0
mendapatkan,0
mendatang,0
mendayudayu,0
mendekam,0
mendengar,0
menderita,0
mendidik,0
mendidiknya,0
mendikbud,0
mending,3
mendingan,4
mendisiplinkan,5
mendorong,5
mendowngrade,-2
mendukung,5
menegakkan,3
meneh,0
menelanjangi,-3
menempati,2
menempatkan,3
menemukan,1
menendang,-3
meneng,0
menengah,2
menerima,0
menerus,0
menfalnya,0
mengabaikannya,0
mengabarkan,0
mengabdikan,0
mengaggap,0
mengajar,0
mengajarinya,0
mengajarkan,0
mengajukan,0
mengakhiri,0
mengaku,0
mengalami,0
mengalir,0
mengambil,0
mengancam,0
menganggap,0
menganiaya,0
mengapresiasi,0
mengarah,0
mengarahkan,0
mengasah,0
mengasihi,0
mengasuhnya,0
mengatakan,0
mengatas,0
mengatur,3
mengawasi,0
mengecewakan,0
mengedam,0
mengejar,0
mengejek,0
mengeksploitasi,0
mengekspresikan,0
mengelabui,0
mengelol,0
mengeluarkan,0
mengelus,0
mengembalikan,0
mengenai,0
mengenali,0
mengentengkan,0
mengerak,0
mengerikaaann,0
mengerikan,0
mengerti,0
mengetahui,0
mengganggap,0
mengganggu,0
menggebugebu,0
menggoreng,0
menggunakan,0
menggunjing,0
menghadapi,0
menghajar,0
menghancurkan,0
menghargai,0
menghargaimenghormati,0
menghasilkan,0
menghilangkan,0
menghukum,0
mengikat,0
mengikuti,0
mengingatkan,0
menginginkan,0
mengomentar,0
mengomentari,0
menguap,0
mengulang,0
mengulangi,0
mengumpulkan,0
mengupgrade,0
mengurangi,0
mengurus,0
mengusung,0
mengusut,0
mengutarakan,0
meni,0
menikmati,0
menilai,0
menimbulkan,0
menimpa,0
menindak,0
meninggal,0
meninggl,0
meningkatkan,0
menit,0
menjabat,0
menjadi,0
menjadikannya,0
menjafi,0
menjaga,0
menjalani,0
menjamin,0
menjaminmencerminkan,0
menjatuhkan,0
menjatuhkanberikan,0
menjd,0
menjelkkan,0
menjikan,0
menjurus,0
menko,0
menkonua,0
menkonyaaamanut,0
menkopolhukam,0
menkopolhukamnya,0
menkopolhukum,0
menkopulhukam,0
menkumham,0
menolak,-1
menormalisasi,0
menormalisasikan,0
menormalkan,0
mentah,0
mental,0
mentalitas,0
mentaljiwa,0
mentalnya,0
mentang,0
mentap,0
mentereng,0
menteri,0
menterinya,0
mentingin,0
mentri,0
mentringa,0
menuduh,0
menuju,0
menular,0
menumbuhkan,0
menunaikan,0
menunggu,0
menunjukkan,0
menuntun,0
menuntut,0
menurun,0
menurunkan,0
menurut,0
menutup,0
menutupi,0
menyadarkan,0
menyakiti,0
menyakitkan,0
menyaksikan,0
menyala,0
menyalaaa,0
menyalahkan,0
menyampaikan,0
menyangkut,0
menyatangi,0
menyebarkan,0
menyebrang,0
menyedihkan,0
menyekolahkan,0
menyeleksi,0
menyelesaikan,0
menyelidiki,0
menyenangkan,0
menyengsengsengsarakan,0
menyerah,0
menyerahkan,0
menyeramkan,0
menyerang,0
menyertaimu,0
menyiksa,0
menyimpan,0
menyimpang,0
menyuarakan,0
menyuruh,0
mepebihi,0
meragukan,0
merah,0
meraja,0
meraka,0
merasa,0
merasakan,0
meraup,0
merdeka,0
merdekadotcom,0
merebak,0
mereka,1
merekaa,0
merekabiar,0
merekajangan,0
merekapadahal,0
merendahkan,0
meresahkan,0
meringankan,0
merokok,-2
meronta,0
merosot,0
merubah,0
merugikan,0
merumuskan,0
merundung,0
merundungortunya,0
merupakan,0
merupaken,0
merurut,0
merusak,0
mesin,0
meskipun,0
messed,-5
mesti,0
mestinyaharus,0
metode,0
metro,0
meu,0
mewajarkan,0
mewakili,0
mewakilkan,0
mgkin,0
mgkn,0
mgknbina,0
mhadiyanr,0
mi,0
micin,0
middle,0
miguelcald,0
mikir,0
mikirgmn,0
mikirnya,0
mileh,0
milenial,0
milih,0
milik,0
militer,0
milyar,0
mimin,0
mimpin,0
min,0
minabis,0
minat,0
mincara,0
mind,0
minded,0
mindset,0
minggir,0
minggu,0
minilmal,0
minim,0
minimal,0
minimnya,0
minn,0
minoritas,0
minta,0
minum,0
minus,0
miriiss,0
miring,0
mirip,0
miris,0
mirissssssss,0
mirnaazx,0
misahkeun,0
misal,0
misalkan,0
misalnya,0
miskiiiiin,0
miskin,0
miskinkan,0
miss,-5
mix,0
mjd,0
mk,0
mka,0
mkin,0
mkmkmk,0
mkn,0
mknya,0
mksutnya,0
ml,0
mlasss,0
mlorotin,0
mmd,0
mmg,0
mmpos,0
mmrthatsry,0
mn,0
mna,0
mnasmoga,0
mngkin,0
mngkn,0
mnjaga,0
mnjatuhkanberkat,0
mnjdi,0
mnk,0
mnrt,0
mnta,0
mntap,0
mnurut,0
mo,0
modal,0
modar,0
modarooo,0
mode,0
model,0
modelan,0
modelnya,0
modelyutuber,0
mohmahfudmd,0
mohon,0
mon,0
moncer,0
money,0
monggo,0
monicaxoxo,0
monikakarunia,0
monitor,0
monster,-5
monyet,0
monyetmonyet,0
moral,0
moralitas,0
moralll,0
moralnya,0
more,0
moril,0
moro,0
mos,0
moso,0
mother,0
motifnya,0
motivasi,0
mpe,0
mpk,0
mpls,0
mpud,0
