classified_text,tweet_text,sentence_score,nilai_sentiment,sentiment_label,text_clean
halaah ngedabruss, halaah ngedabruss,['halaah ngedabruss'],0.0,Neutral,halaah ngedabruss
cius awas [Negative (3.0)] boong [Negative (5.0)], cius awas boong,['cius awas [Negative (3.0)] boong [Negative (5.0)]'],-5.0,Negative,cius awas boong
percaya [Positive (2.0)] dukung [Positive (5.0)] fanatik kaum relijiusnya, percaya dukung fanatik kaum relijiusnya,['percaya [Positive (2.0)] dukung [Positive (5.0)] fanatik kaum relijiusnya'],5.0,Positive,percaya dukung fanatik kaum relijiusnya
ambisi [Positive (4.0)] kuasa [Positive (4.0)], ambisi kuasa,['ambisi [Positive (4.0)] kuasa [Positive (4.0)]'],4.0,Positive,ambisi kuasa
ngomong kowe mas anies, ngomong kowe mas anies,['ngomong kowe mas anies'],0.0,Neutral,ngomong kowe mas anies
pcy mulut [Negative (1.0)] busuk [Negative (6.0)] ntr ajak [Positive (1.0)] menteri mulut [Negative (1.0)] manis [Negative (2.0)] hahah, pcy mulut busuk ntr ajak menteri mulut manis hahah,['pcy mulut [Negative (1.0)] busuk [Negative (6.0)] ntr ajak [Positive (1.0)] menteri mulut [Negative (1.0)] manis [Negative (2.0)] hahah'],-2.0,Negative,pcy mulut busuk ntr ajak menteri mulut manis hahah
menang [Negative (5.0)] prjuangkan, menang prjuangkan,['menang [Negative (5.0)] prjuangkan'],-5.0,Negative,menang prjuangkan
rimis nanya [Negative (1.0)] barangkali tau [Negative (4.0)] besar [Negative (2.0)] si joni malu [Negative (4.0)] istri protes [Negative (3.0)] mulu [Negative (1.0)] puas [Positive (3.0)], rimis nanya barangkali tau besar si joni malu istri protes mulu puas,['rimis nanya [Negative (1.0)] barangkali tau [Negative (4.0)] besar [Negative (2.0)] si joni malu [Negative (4.0)] istri protes [Negative (3.0)] mulu [Negative (1.0)] puas [Positive (3.0)]'],3.0,Positive,rimis nanya barangkali tau besar si joni malu istri protes mulu puas
apah iyah, apah iyah,['apah iyah'],0.0,Neutral,apah iyah
udah tinggalin janji timbul [Negative (3.0)] tenggelam rakyat tau [Negative (4.0)] jabat [Negative (4.0)], udah tinggalin janji timbul tenggelam rakyat tau jabat,['udah tinggalin janji timbul [Negative (3.0)] tenggelam rakyat tau [Negative (4.0)] jabat [Negative (4.0)]'],-4.0,Negative,udah tinggalin janji timbul tenggelam rakyat tau jabat
sabar [Positive (5.0)] ya [Positive (5.0)] terima [Positive (2.0)] kalah [Negative (4.0)] mudah [Negative (1.0)], sabar ya terima kalah mudah,['sabar [Positive (5.0)] ya [Positive (5.0)] terima [Positive (2.0)] kalah [Negative (4.0)] mudah [Negative (1.0)]'],2.0,Positive,sabar ya terima kalah mudah
sok oposisi [Positive (3.0)] sehat [Negative (1.0)] ya [Positive (4.0)] terima [Positive (2.0)] aja [Positive (1.0)] kalah [Negative (4.0)] tetep suara [Negative (1.0)] ubah ya [Positive (4.0)] monggo [Positive (4.0)] oposisi [Negative (3.0)], sok oposisi sehat ya terima aja kalah tetep suara ubah ya monggo oposisi,['sok oposisi [Positive (3.0)] sehat [Negative (1.0)] ya [Positive (4.0)] terima [Positive (2.0)] aja [Positive (1.0)] kalah [Negative (4.0)] tetep suara [Negative (1.0)] ubah ya [Positive (4.0)] monggo [Positive (4.0)] oposisi [Negative (3.0)]'],4.0,Positive,sok oposisi sehat ya terima aja kalah tetep suara ubah ya monggo oposisi
sih anies perintah prabowo awokwokwok, sih anies perintah prabowo awokwokwok,['sih anies perintah prabowo awokwokwok'],0.0,Neutral,sih anies perintah prabowo awokwokwok
hehehehehehe, hehehehehehe,['hehehehehehe'],0.0,Neutral,hehehehehehe
anies silah [Positive (3.0)] lanjut [Negative (5.0)] halusinasi, anies silah lanjut halusinasi,['anies silah [Positive (3.0)] lanjut [Negative (5.0)] halusinasi'],-5.0,Negative,anies silah lanjut halusinasi
partai nama partai ubah, partai nama partai ubah,['partai nama partai ubah'],0.0,Neutral,partai nama partai ubah
eh kalah [Negative (4.0)] aja [Positive (1.0)] ribet [Negative (4.0)] partai, eh kalah aja ribet partai,['eh kalah [Negative (4.0)] aja [Positive (1.0)] ribet [Negative (4.0)] partai'],-4.0,Negative,eeeh kalah aja ribet partai
bangga [Positive (3.0)] oposisi [Negative (3.0)], bangga oposisi,['bangga [Positive (3.0)] oposisi [Negative (3.0)]'],0.0,Neutral,bangga oposisi
rompi oranye, rompi oranye,['rompi oranye'],0.0,Neutral,rompi oranye
prabowo hak jabat [Negative (3.0)], prabowo hak jabat,['prabowo hak jabat [Negative (3.0)]'],-3.0,Negative,prabowo hak jabat
bagus [Negative (4.0)] udah kalah [Negative (4.0)], bagus udah kalah,['bagus [Negative (4.0)] udah kalah [Negative (4.0)]'],-4.0,Negative,bagus udah kalah
cagub dki duel [Negative (4.0)] rk seruu atuh [Negative (1.0)], cagub dki duel rk seruu atuh,['cagub dki duel [Negative (4.0)] rk seruu atuh [Negative (1.0)]'],0.0,Neutral,cagub dki duel rk seruu atuh
pegang [Negative (2.0)] omomgannya, pegang omomgannya,['pegang [Negative (2.0)] omomgannya'],-2.0,Negative,pegang omomgannya
maha [Positive (4.0)] maneh [Negative (3.0)] we, maha maneh we,['maha [Positive (4.0)] maneh [Negative (3.0)] we'],4.0,Positive,maha maneh we
ramal [Negative (2.0)] bang fahri laku, ramal bang fahri laku,['ramal [Negative (2.0)] bang fahri laku'],-2.0,Negative,ramal bang fahri laku
renovasi [Positive (4.0)] rumah [Positive (4.0)] ya [Positive (5.0)], renovasi rumah ya,['renovasi [Positive (4.0)] rumah [Positive (4.0)] ya [Positive (5.0)]'],5.0,Positive,renovasi rumah ya
semangat [Negative (1.0)] oposisi [Negative (4.0)] tegak lurus [Positive (4.0)] tema ubah, semangat oposisi tegak lurus tema ubah,['semangat [Negative (1.0)] oposisi [Negative (4.0)] tegak lurus [Positive (4.0)] tema ubah'],0.0,Neutral,semangat oposisi tegak lurus tema ubah
sorry [Negative (4.0)] yee sorry [Negative (4.0)], sorry yee sorry,['sorry [Negative (4.0)] yee sorry [Negative (4.0)]'],-4.0,Negative,sorry yee sorry
hahaha bilang tema rekam [Negative (3.0)] jejak ntah ente rubah kayak [Negative (3.0)] jakarta bagus [Negative (4.0)] ente bobfkar ganti [Negative (3.0)] guna [Positive (1.0)], hahaha bilang tema rekam jejak ntah ente rubah kayak jakarta bagus ente bobfkar ganti guna,['hahaha bilang tema rekam [Negative (3.0)] jejak ntah ente rubah kayak [Negative (3.0)] jakarta bagus [Negative (4.0)] ente bobfkar ganti [Negative (3.0)] guna [Positive (1.0)]'],-3.0,Negative,hahaha bilang tema rekam jejak ntah ente rubah kayak jakarta bagus ente bobfkar ganti guna
mas anies mas anies india tunggu [Negative (2.0)] ubah, mas anies mas anies india tunggu ubah,['mas anies mas anies india tunggu [Negative (2.0)] ubah'],-2.0,Negative,mas anies mas anies india tunggu ubah
partai angin, partai angin,['partai angin'],0.0,Neutral,partai angin
bodo [Negative (5.0)] rakyat nilai [Positive (5.0)] pilih [Negative (2.0)], bodo rakyat nilai pilih,['bodo [Negative (5.0)] rakyat nilai [Positive (5.0)] pilih [Negative (2.0)]'],5.0,Positive,bodo rakyat nilai pilih
sy paham maksutnya slain pepes kosong [Negative (4.0)] belaka [Negative (1.0)] ngrubah jalur [Negative (4.0)] ubah kn ide kampanye [Positive (3.0)] kait [Positive (1.0)] kuasa [Positive (4.0)] kl kuasa [Positive (3.0)] gmn partai, sy paham maksutnya slain pepes kosong belaka ngrubah jalur ubah kn ide kampanye kait kuasa kl kuasa gmn partai,['sy paham maksutnya slain pepes kosong [Negative (4.0)] belaka [Negative (1.0)] ngrubah jalur [Negative (4.0)] ubah kn ide kampanye [Positive (3.0)] kait [Positive (1.0)] kuasa [Positive (4.0)] kl kuasa [Positive (3.0)] gmn partai'],-4.0,Negative,sy paham maksutnya slain pepes kosong belaka ngrubah jalur ubah kn ide kampanye kait kuasa kl kuasa gmn partai
iya pa [Negative (5.0)] anies bpk hars ubah moga [Positive (1.0)] bpk baik [Negative (1.0)] bpk kasih [Negative (1.0)] nilai [Positive (5.0)], iya pa anies bpk hars ubah moga bpk baik bpk kasih nilai,['iya pa [Negative (5.0)] anies bpk hars ubah moga [Positive (1.0)] bpk baik [Negative (1.0)] bpk kasih [Negative (1.0)] nilai [Positive (5.0)]'],5.0,Positive,iya pa anies bpk hars ubah moga bpk baik bpk kasih nilai
oposisi [Negative (3.0)] butuh [Negative (6.0)] perahu [Negative (5.0)] partai perahu [Negative (4.0)] teriak [Negative (2.0)] doang [Negative (1.0)] gelandang politik [Negative (1.0)], oposisi butuh perahu partai perahu teriak doang gelandang politik,['oposisi [Negative (3.0)] butuh [Negative (6.0)] perahu [Negative (5.0)] partai perahu [Negative (4.0)] teriak [Negative (2.0)] doang [Negative (1.0)] gelandang politik [Negative (1.0)]'],0.0,Neutral,oposisi butuh perahu partai perahu teriak doang gelandang politik
cocok [Negative (3.0)] pa [Negative (6.0)] semangat [Negative (1.0)], cocok pa semangat,['cocok [Negative (3.0)] pa [Negative (6.0)] semangat [Negative (1.0)]'],0.0,Neutral,cocok pa semangat
emang percaya [Positive (2.0)] janji anies janji hianati prabowo weis janji ya [Positive (4.0)], emang percaya janji anies janji hianati prabowo weis janji ya,['emang percaya [Positive (2.0)] janji anies janji hianati prabowo weis janji ya [Positive (4.0)]'],4.0,Positive,emang percaya janji anies janji hianati prabowo weis janji ya
calon anis rt, calon anis rt,['calon anis rt'],0.0,Neutral,calon anis rt
bodoh [Negative (5.0)], bodoh,['bodoh [Negative (5.0)]'],-5.0,Negative,bodoh
ubah sailormoon aja [Positive (1.0)] deh phd, ubah sailormoon aja deh phd,['ubah sailormoon aja [Positive (1.0)] deh phd'],0.0,Neutral,ubah sailormoon aja deh phd
kalah [Negative (4.0)] apain sih, kalah apain sih,['kalah [Negative (4.0)] apain sih'],-4.0,Negative,kalah apain sih
janji maniess, janji maniess,['janji maniess'],0.0,Neutral,janji maniess
konssten, konssten,['konssten'],0.0,Neutral,konssten
hahaha janji nies, hahaha janji nies,['hahaha janji nies'],0.0,Neutral,hahaha janji nies
juang [Negative (3.0)] tok bayar [Negative (3.0)] kecut [Negative (5.0)] wir, juang tok bayar kecut wir,['juang [Negative (3.0)] tok bayar [Negative (3.0)] kecut [Negative (5.0)] wir'],-5.0,Negative,juang tok bayar kecut wir
diri [Negative (1.0)] persis nasib amin [Negative (3.0)] rais [Positive (3.0)] ngomong apa [Negative (3.0)] dengar [Positive (2.0)] abai [Negative (3.0)] biar [Negative (4.0)] sorry [Negative (5.0)] yee ubah, diri persis nasib amin rais ngomong apa dengar abai biar sorry yee ubah,['diri [Negative (1.0)] persis nasib amin [Negative (3.0)] rais [Positive (3.0)] ngomong apa [Negative (3.0)] dengar [Positive (2.0)] abai [Negative (3.0)] biar [Negative (4.0)] sorry [Negative (5.0)] yee ubah'],-5.0,Negative,diri persis nasib amin rais ngomong apa dengar abai biar sorry yee ubah
masuk [Negative (3.0)] tri, masuk tri,['masuk [Negative (3.0)] tri'],-3.0,Negative,masuk tri
kawal [Negative (2.0)] mati [Negative (6.0)] kampanye [Positive (3.0)] jis, kawal mati kampanye jis,['kawal [Negative (2.0)] mati [Negative (6.0)] kampanye [Positive (3.0)] jis'],-5.0,Negative,kawal mati kampanye jis
bikin partai aja [Positive (1.0)] biar [Negative (3.0)] tau [Negative (5.0)] konsisten, bikin partai aja biar tau konsisten,['bikin partai aja [Positive (1.0)] biar [Negative (3.0)] tau [Negative (5.0)] konsisten'],-5.0,Negative,bikin partai aja biar tau konsisten
anis president pegawai [Positive (3.0)] kpps, anis president pegawai kpps,['anis president pegawai [Positive (3.0)] kpps'],3.0,Positive,anis president pegawai kpps
itu [Negative (2.0)] partai usung partai butuh [Negative (5.0)] modal [Negative (4.0)], itu partai usung partai butuh modal,['itu [Negative (2.0)] partai usung partai butuh [Negative (5.0)] modal [Negative (4.0)]'],-4.0,Negative,itu partai usung partai butuh modal
ubah aja [Positive (1.0)] nis powerangers wkwkwkapok, ubah aja nis powerangers wkwkwkapok,['ubah aja [Positive (1.0)] nis powerangers wkwkwkapok'],0.0,Neutral,ubah aja nis powerangers wkwkwkapok
bahaya [Negative (5.0)] laksana ubah sang inovator musuh [Negative (4.0)] orang makmur [Positive (4.0)] perintah niccolo machiavelli il principe, bahaya laksana ubah sang inovator musuh orang makmur perintah niccolo machiavelli il principe,['bahaya [Negative (5.0)] laksana ubah sang inovator musuh [Negative (4.0)] orang makmur [Positive (4.0)] perintah niccolo machiavelli il principe'],0.0,Neutral,bahaya laksana ubah sang inovator musuh orang makmur perintah niccolo machiavelli il principe
ngapain si anis masuk [Negative (3.0)] kabinet [Negative (4.0)] prabowo orang partai menteri didik [Negative (3.0)] aja [Positive (1.0)] pecat [Negative (5.0)], ngapain si anis masuk kabinet prabowo orang partai menteri didik aja pecat,['ngapain si anis masuk [Negative (3.0)] kabinet [Negative (4.0)] prabowo orang partai menteri didik [Negative (3.0)] aja [Positive (1.0)] pecat [Negative (5.0)]'],-5.0,Negative,ngapain si anis masuk kabinet prabowo orang partai menteri didik aja pecat
ubah orang, ubah orang,['ubah orang'],0.0,Neutral,ubah orang
nabi [Positive (2.0)], nabi,['nabi [Positive (2.0)]'],2.0,Positive,nabi
lawan [Negative (4.0)] jan etes, lawan jan etes,['lawan [Negative (4.0)] jan etes'],-4.0,Negative,lawan jan etes
udah diem [Negative (3.0)], udah diem,['udah diem [Negative (3.0)]'],-3.0,Negative,udah diem
moga [Positive (1.0)] aja [Positive (1.0)] diksih bangku prabowo stelah gabung [Negative (5.0)] ken [Negative (2.0)] tau [Negative (5.0)] reaksi [Negative (6.0)] dukung [Positive (4.0)], moga aja diksih bangku prabowo stelah gabung ken tau reaksi dukung,['moga [Positive (1.0)] aja [Positive (1.0)] diksih bangku prabowo stelah gabung [Negative (5.0)] ken [Negative (2.0)] tau [Negative (5.0)] reaksi [Negative (6.0)] dukung [Positive (4.0)]'],-5.0,Negative,moga aja diksih bangku prabowo stelah gabung ken tau reaksi dukung
menyebrang bilang timbul [Negative (3.0)] tenggelam rakyat, menyebrang bilang timbul tenggelam rakyat,['menyebrang bilang timbul [Negative (3.0)] tenggelam rakyat'],-3.0,Negative,menyebrang bilang timbul tenggelam rakyat
ubah butuh [Negative (5.0)], ubah butuh,['ubah butuh [Negative (5.0)]'],-5.0,Negative,ubah butuh
jalan daki [Negative (4.0)] terjal mu, jalan daki terjal mu,['jalan daki [Negative (4.0)] terjal mu'],-4.0,Negative,jalan daki terjal mu
konsisten tu, konsisten tu,['konsisten tu'],0.0,Neutral,konsisten tu
pikir [Negative (2.0)] bayar [Negative (4.0)] hutang [Negative (6.0)] modal [Negative (4.0)] pilpres aja [Positive (1.0)], pikir bayar hutang modal pilpres aja,['pikir [Negative (2.0)] bayar [Negative (4.0)] hutang [Negative (6.0)] modal [Negative (4.0)] pilpres aja [Positive (1.0)]'],-4.0,Negative,pikir bayar hutang modal pilpres aja
udah bacot [Negative (4.0)] ente mahasiswa aja [Positive (1.0)] intropeksi maksain berfikir pake logika logila, udah bacot ente mahasiswa aja intropeksi maksain berfikir pake logika logila,['udah bacot [Negative (4.0)] ente mahasiswa aja [Positive (1.0)] intropeksi maksain berfikir pake logika logila'],-4.0,Negative,udah bacot ente mahasiswa aja intropeksi maksain berfikir pake logika logila
rohingya butuh [Negative (5.0)] ubah, rohingya butuh ubah,['rohingya butuh [Negative (5.0)] ubah'],-5.0,Negative,rohingya butuh ubah
anies dasar manusia [Positive (3.0)] buruk [Negative (5.0)] perasangka jati buruk [Negative (5.0)] periode laku prabowo bintang terang [Negative (3.0)] wangi [Positive (4.0)] bunga [Negative (3.0)] bentuk [Positive (4.0)] persisten nya prabowo subianto anies baswedan prabowo konsistensi [Negative (3.0)] pimpin negara cinta [Negative (1.0)] amanah [Positive (5.0)] dasar maju bangsa, anies dasar manusia buruk perasangka jati buruk periode laku prabowo bintang terang wangi bunga bentuk persisten nya prabowo subianto anies baswedan prabowo konsistensi pimpin negara cinta amanah dasar maju bangsa,['anies dasar manusia [Positive (3.0)] buruk [Negative (5.0)] perasangka jati buruk [Negative (5.0)] periode laku prabowo bintang terang [Negative (3.0)] wangi [Positive (4.0)] bunga [Negative (3.0)] bentuk [Positive (4.0)] persisten nya prabowo subianto anies baswedan prabowo konsistensi [Negative (3.0)] pimpin negara cinta [Negative (1.0)] amanah [Positive (5.0)] dasar maju bangsa'],5.0,Positive,anies dasar manusia buruk perasangka jati buruk periode laku prabowo bintang terang wangi bunga bentuk persisten nya prabowo subianto anies baswedan prabowo konsistensi pimpin negara cinta amanah dasar maju bangsa
moga [Positive (1.0)] aja [Positive (1.0)] sih, moga aja sih,['moga [Positive (1.0)] aja [Positive (1.0)] sih'],0.0,Neutral,moga aja sih
masuk [Negative (3.0)] partai biar [Negative (3.0)] teriak [Negative (2.0)] ubah partai ngk aku [Negative (1.0)] aja [Positive (1.0)] dukung [Positive (5.0)] partai nyalon, masuk partai biar teriak ubah partai ngk aku aja dukung partai nyalon,['masuk [Negative (3.0)] partai biar [Negative (3.0)] teriak [Negative (2.0)] ubah partai ngk aku [Negative (1.0)] aja [Positive (1.0)] dukung [Positive (5.0)] partai nyalon'],5.0,Positive,masuk partai biar teriak ubah partai ngk aku aja dukung partai nyalon
percaya [Positive (2.0)] anis rugi [Negative (5.0)], percaya anis rugi,['percaya [Positive (2.0)] anis rugi [Negative (5.0)]'],-5.0,Negative,percaya anis rugi
tersandra politik [Negative (1.0)], tersandra politik,['tersandra politik [Negative (1.0)]'],0.0,Neutral,tersandra politik
hati [Negative (2.0)] rekam [Negative (4.0)] jejak digital, hati rekam jejak digital,['hati [Negative (2.0)] rekam [Negative (4.0)] jejak digital'],-4.0,Negative,hati rekam jejak digital
tunggu [Negative (2.0)] aja [Positive (1.0)] kanan malih cangkeme, tunggu aja kanan malih cangkeme,['tunggu [Negative (2.0)] aja [Positive (1.0)] kanan malih cangkeme'],-2.0,Negative,tunggu aja kanan malih cangkeme
tenang [Negative (1.0)] usaha [Negative (5.0)] ush bilang imam [Negative (3.0)] mahdi [Positive (3.0)] restu malaikat jibril udh laku pake metode [Negative (5.0)] gitu pake metode [Negative (5.0)] pilih [Negative (2.0)] masuk [Negative (4.0)] neraka [Negative (6.0)], tenang usaha ush bilang imam mahdi restu malaikat jibril udh laku pake metode gitu pake metode pilih masuk neraka,['tenang [Negative (1.0)] usaha [Negative (5.0)] ush bilang imam [Negative (3.0)] mahdi [Positive (3.0)] restu malaikat jibril udh laku pake metode [Negative (5.0)] gitu pake metode [Negative (5.0)] pilih [Negative (2.0)] masuk [Negative (4.0)] neraka [Negative (6.0)]'],-5.0,Negative,tenang usaha ush bilang imam mahdi restu malaikat jibril udh laku pake metode gitu pake metode pilih masuk neraka
masuk [Negative (3.0)] partai juang [Negative (3.0)] wakil legislatif, masuk partai juang wakil legislatif,['masuk [Negative (3.0)] partai juang [Negative (3.0)] wakil legislatif'],-3.0,Negative,masuk partai juang wakil legislatif
orapercoyo, orapercoyo,['orapercoyo'],0.0,Neutral,orapercoyo
iya mending [Negative (3.0)] ky gt aja [Positive (1.0)] smp masuk [Negative (3.0)] kabinet [Negative (4.0)] takut [Negative (5.0)] pecat [Negative (6.0)] lagi [Negative (4.0)], iya mending ky gt aja smp masuk kabinet takut pecat lagi,['iya mending [Negative (3.0)] ky gt aja [Positive (1.0)] smp masuk [Negative (3.0)] kabinet [Negative (4.0)] takut [Negative (5.0)] pecat [Negative (6.0)] lagi [Negative (4.0)]'],-4.0,Negative,iya mending ky gt aja smp masuk kabinet takut pecat lagi
deh ubah kurikulum aja [Positive (1.0)], deh ubah kurikulum aja,['deh ubah kurikulum aja [Positive (1.0)]'],0.0,Neutral,deh ubah kurikulum aja
mngkin konsisten gmn nasdem pkb, mngkin konsisten gmn nasdem pkb,['mngkin konsisten gmn nasdem pkb'],0.0,Neutral,mngkin konsisten gmn nasdem pkb
emang juara dehh, emang juara dehh,['emang juara dehh'],0.0,Neutral,emang juara dehh
partai angin, partai angin,['partai angin'],0.0,Neutral,partai angin
banyak [Negative (3.0)] masyarakat paham denger [Negative (3.0)] pidato, banyak masyarakat paham denger pidato,['banyak [Negative (3.0)] masyarakat paham denger [Negative (3.0)] pidato'],-3.0,Negative,banyak masyarakat paham denger pidato
moga [Positive (1.0)] oposisi [Negative (3.0)] imbang [Negative (4.0)] perintah, moga oposisi imbang perintah,['moga [Positive (1.0)] oposisi [Negative (3.0)] imbang [Negative (4.0)] perintah'],-4.0,Negative,moga oposisi imbang perintah
emang nentukan koalisi oposisi [Negative (3.0)] emang partai, emang nentukan koalisi oposisi emang partai,['emang nentukan koalisi oposisi [Negative (3.0)] emang partai'],-3.0,Negative,emang nentukan koalisi oposisi emang partai
jabat [Negative (3.0)] lupa [Negative (4.0)] gala fulus uenakk foll boss, jabat lupa gala fulus uenakk foll boss,['jabat [Negative (3.0)] lupa [Negative (4.0)] gala fulus uenakk foll boss'],-4.0,Negative,jabat lupa gala fulus uenakk foll boss
maksud [Negative (1.0)] gmn si, maksud gmn si,['maksud [Negative (1.0)] gmn si'],0.0,Neutral,maksud gmn si
cikal berontak kayak [Negative (3.0)] nya masukin kabinet [Negative (3.0)], cikal berontak kayak nya masukin kabinet,['cikal berontak kayak [Negative (3.0)] nya masukin kabinet [Negative (3.0)]'],-3.0,Negative,cikal berontak kayak nya masukin kabinet
serah [Negative (3.0)] wan [Negative (5.0)] kalah [Negative (6.0)] telak [Negative (4.0)] nyalon ya [Positive (4.0)] nyalonin bikin aja [Positive (1.0)] partai kasih [Negative (1.0)] nama partai rungkad partai bengkarung kadrun dukung [Positive (4.0)] puja [Positive (5.0)], serah wan kalah telak nyalon ya nyalonin bikin aja partai kasih nama partai rungkad partai bengkarung kadrun dukung puja,['serah [Negative (3.0)] wan [Negative (5.0)] kalah [Negative (6.0)] telak [Negative (4.0)] nyalon ya [Positive (4.0)] nyalonin bikin aja [Positive (1.0)] partai kasih [Negative (1.0)] nama partai rungkad partai bengkarung kadrun dukung [Positive (4.0)] puja [Positive (5.0)]'],5.0,Positive,serah wan kalah telak nyalon ya nyalonin bikin aja partai kasih nama partai rungkad partai bengkarung kadrun dukung puja
ribu langkah [Positive (4.0)] ente nol [Negative (3.0)] dp nol [Negative (3.0)] rupiah, ribu langkah ente nol dp nol rupiah,['ribu langkah [Positive (4.0)] ente nol [Negative (3.0)] dp nol [Negative (3.0)] rupiah'],4.0,Positive,ribu langkah ente nol dp nol rupiah
haalaahh, haalaahh,['haalaahh'],0.0,Neutral,haalaahh
geser [Negative (5.0)] bohir kapok [Negative (3.0)] dukung [Positive (4.0)] paslon specialist kalah [Negative (4.0)] tekor boss, geser bohir kapok dukung paslon specialist kalah tekor boss,['geser [Negative (5.0)] bohir kapok [Negative (3.0)] dukung [Positive (4.0)] paslon specialist kalah [Negative (4.0)] tekor boss'],0.0,Neutral,geser bohir kapok dukung paslon specialist kalah tekor boss
mudah [Negative (1.0)] si anis kolega oposisi [Negative (3.0)], mudah si anis kolega oposisi,['mudah [Negative (1.0)] si anis kolega oposisi [Negative (3.0)]'],-3.0,Negative,mudah si anis kolega oposisi
emang beliau kuat [Negative (3.0)] politik [Negative (1.0)] nya, emang beliau kuat politik nya,['emang beliau kuat [Negative (3.0)] politik [Negative (1.0)] nya'],0.0,Neutral,emang beliau kuat politik nya
kbarnya tim [Negative (4.0)] amin [Negative (4.0)] kampanye [Positive (3.0)] pilpres, kbarnya tim amin kampanye pilpres,['kbarnya tim [Negative (4.0)] amin [Negative (4.0)] kampanye [Positive (3.0)] pilpres'],-4.0,Negative,kbarnya tim amin kampanye pilpres
tugas [Negative (1.0)], tugas,['tugas [Negative (1.0)]'],0.0,Neutral,tugas
gembell, gembell,['gembell'],0.0,Neutral,gembell
rispek, rispek,['rispek'],0.0,Neutral,rispek
omon omon anies pusing [Negative (4.0)] gimana bayar [Negative (3.0)] utang [Negative (5.0)] sp, omon omon anies pusing gimana bayar utang sp,['omon omon anies pusing [Negative (4.0)] gimana bayar [Negative (3.0)] utang [Negative (5.0)] sp'],-5.0,Negative,omon omon anies pusing gimana bayar utang sp
tinggal [Negative (3.0)] nunggu [Positive (1.0)] kpk gerak hadir [Negative (3.0)], tinggal nunggu kpk gerak hadir,['tinggal [Negative (3.0)] nunggu [Positive (1.0)] kpk gerak hadir [Negative (3.0)]'],-3.0,Negative,tinggal nunggu kpk gerak hadir
liat [Negative (1.0)] konsisten ucap [Negative (2.0)] nya, liat konsisten ucap nya,['liat [Negative (1.0)] konsisten ucap [Negative (2.0)] nya'],-2.0,Negative,liat konsisten ucap nya
janji teross, janji teross,['janji teross'],0.0,Neutral,janji teross
anies serba salah [Negative (4.0)] masuk [Negative (4.0)] kabinet [Negative (4.0)] tinggal [Negative (4.0)] dukung [Positive (4.0)] skrg basis oposisi [Negative (3.0)] nyalon gubernur dki resiko saing ridwan kamil [Positive (3.0)] ganjar [Negative (3.0)] kalah [Negative (5.0)] pilgub udah ad harap [Negative (3.0)] nyapres satu [Negative (1.0)] jalan angkat [Positive (3.0)] tum partai oposisi [Negative (3.0)] maybe pks nasdem nama tenggelam milu, anies serba salah masuk kabinet tinggal dukung skrg basis oposisi nyalon gubernur dki resiko saing ridwan kamil ganjar kalah pilgub udah ad harap nyapres satu jalan angkat tum partai oposisi maybe pks nasdem nama tenggelam milu,['anies serba salah [Negative (4.0)] masuk [Negative (4.0)] kabinet [Negative (4.0)] tinggal [Negative (4.0)] dukung [Positive (4.0)] skrg basis oposisi [Negative (3.0)] nyalon gubernur dki resiko saing ridwan kamil [Positive (3.0)] ganjar [Negative (3.0)] kalah [Negative (5.0)] pilgub udah ad harap [Negative (3.0)] nyapres satu [Negative (1.0)] jalan angkat [Positive (3.0)] tum partai oposisi [Negative (3.0)] maybe pks nasdem nama tenggelam milu'],0.0,Neutral,anies serba salah masuk kabinet tinggal dukung skrg basis oposisi nyalon gubernur dki resiko saing ridwan kamil ganjar kalah pilgub udah ad harap nyapres satu jalan angkat tum partai oposisi maybe pks nasdem nama tenggelam milu
anis ubah tanggal [Negative (4.0)] jatuh [Negative (4.0)] tempo [Negative (5.0)] hutang [Negative (6.0)] nya ratus em, anis ubah tanggal jatuh tempo hutang nya ratus em,['anis ubah tanggal [Negative (4.0)] jatuh [Negative (4.0)] tempo [Negative (5.0)] hutang [Negative (6.0)] nya ratus em'],-5.0,Negative,anis ubah tanggal jatuh tempo hutang nya ratus em
partai dukung [Positive (4.0)] gimana jamin [Negative (5.0)] oposisi [Negative (4.0)] partai loh situ, partai dukung gimana jamin oposisi partai loh situ,['partai dukung [Positive (4.0)] gimana jamin [Negative (5.0)] oposisi [Negative (4.0)] partai loh situ'],0.0,Neutral,partai dukung gimana jamin oposisi partai loh situ
preett, preett,['preett'],0.0,Neutral,preett
yee abah [Positive (3.0)] anies peluk [Negative (3.0)] ahok oposisi [Negative (3.0)], yee abah anies peluk ahok oposisi,['yee abah [Positive (3.0)] anies peluk [Negative (3.0)] ahok oposisi [Negative (3.0)]'],0.0,Neutral,yee abah anies peluk ahok oposisi
kalah [Negative (4.0)] yah kalah [Negative (4.0)] aja [Positive (1.0)] susah [Negative (3.0)], kalah yah kalah aja susah,['kalah [Negative (4.0)] yah kalah [Negative (4.0)] aja [Positive (1.0)] susah [Negative (3.0)]'],-3.0,Negative,kalah yah kalah aja susah
omong [Negative (4.0)] anis blan udah tu rekam [Negative (3.0)] jejek negatif nya, omong anis blan udah tu rekam jejek negatif nya,['omong [Negative (4.0)] anis blan udah tu rekam [Negative (3.0)] jejek negatif nya'],-3.0,Negative,omong anis blan udah tu rekam jejek negatif nya
keren, keren,['keren'],0.0,Neutral,keren
